Date,name,value,source
2007-12-31,Japan,-0.12119731969373901,equity_premium
2008-12-31,Japan,-0.43233808938983975,equity_premium
2009-12-31,Japan,0.16166223216502873,equity_premium
2010-12-31,Japan,-0.04305684173996159,equity_premium
2011-12-31,Japan,-0.18666780633732585,equity_premium
2012-12-31,Japan,0.2185404261207402,equity_premium
2013-12-31,Japan,0.5752884515900637,equity_premium
2014-12-31,Japan,0.08776045836092983,equity_premium
2015-12-31,Japan,0.0894188913555103,equity_premium
2016-12-31,Japan,0.004587744506982554,equity_premium
2017-12-31,Japan,0.20052563018294622,equity_premium
2018-12-31,Japan,-0.1182872588814202,equity_premium
2019-12-31,Japan,0.18992812392548106,equity_premium
2020-12-31,Japan,0.14821528976666992,equity_premium
2021-12-31,Japan,0.05689113878466715,equity_premium
2022-12-31,Japan,-0.05439009055384341,equity_premium
2023-12-31,Japan,0.30420234953725867,equity_premium
1997-12-31,France,0.2485571220306339,equity_premium
1998-12-31,France,0.263327673488034,equity_premium
1999-12-31,France,0.4849136781259353,equity_premium
2000-12-31,France,-0.04413385813450761,equity_premium
2001-12-31,France,-0.25573718524843,equity_premium
2002-12-31,France,-0.36516280834151427,equity_premium
2003-12-31,France,0.14060862616721778,equity_premium
2004-12-31,France,0.05198308580904451,equity_premium
2005-12-31,France,0.21320868710025226,equity_premium
2006-12-31,France,0.15724943444964518,equity_premium
2007-12-31,France,-0.000759994225661205,equity_premium
2008-12-31,France,-0.4610236793205655,equity_premium
2009-12-31,France,0.19809390211841643,equity_premium
2010-12-31,France,-0.05134945416161751,equity_premium
2011-12-31,France,-0.17813571444341075,equity_premium
2012-12-31,France,0.13393662603131218,equity_premium
2013-12-31,France,0.16697921720812836,equity_premium
2014-12-31,France,-0.029930435293706818,equity_premium
2015-12-31,France,0.07904358902346276,equity_premium
2016-12-31,France,0.04471603740300975,equity_premium
2017-12-31,France,0.09779001933237483,equity_premium
2018-12-31,France,-0.1013272335747739,equity_premium
2019-12-31,France,0.2716261233562126,equity_premium
2020-12-31,France,-0.07251930709962774,equity_premium
2021-12-31,France,0.31993688383671887,equity_premium
2022-12-31,France,-0.03791255433012301,equity_premium
2023-12-31,France,0.17113302538246716,equity_premium
1997-12-31,USA,0.2629218100818099,equity_premium
1998-12-31,USA,0.22538590212586185,equity_premium
1999-12-31,USA,0.17563044759727636,equity_premium
2000-12-31,USA,-0.1319418665986048,equity_premium
2001-12-31,USA,-0.1660268791468477,equity_premium
2002-12-31,USA,-0.26039967528395225,equity_premium
2003-12-31,USA,0.2444439599008888,equity_premium
2004-12-31,USA,0.08003952766386078,equity_premium
2005-12-31,USA,0.021988231698461834,equity_premium
2006-12-31,USA,0.11769331382130753,equity_premium
2007-12-31,USA,0.029083776633998526,equity_premium
2008-12-31,USA,-0.4241799367457571,equity_premium
2009-12-31,USA,0.23962893191253792,equity_premium
2010-12-31,USA,0.10441910070845682,equity_premium
2011-12-31,USA,-0.0033388542031107943,equity_premium
2012-12-31,USA,0.13269591628565316,equity_premium
2013-12-31,USA,0.29345845275874866,equity_premium
2014-12-31,USA,0.09118438187366099,equity_premium
2015-12-31,USA,-0.021678015833697568,equity_premium
2016-12-31,USA,0.0934061570496198,equity_premium
2017-12-31,USA,0.1908466489237683,equity_premium
2018-12-31,USA,-0.06732659734965095,equity_premium
2019-12-31,USA,0.2847887407702896,equity_premium
2020-12-31,USA,0.1570342199406953,equity_premium
2021-12-31,USA,0.330155362908572,equity_premium
2022-12-31,USA,-0.14498924232404153,equity_premium
2023-12-31,USA,0.2370769876285974,equity_premium
